17-29-10 Fish A: 0, 总过鱼率: 0 单位时间过鱼率: 0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-29-17 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 
17-29-24 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 1.0 单位时间过鱼率: 1.0 
17-29-35 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-29-40 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-29-46 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-29-52 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-29-57 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 0 单位时间过鱼率: 0 
17-30-03 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 0 单位时间过鱼率: 0 
17-30-09 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-30-14 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 
17-30-20 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 2.0 单位时间过鱼率: 1.0 
17-30-26 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-30-32 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-30-38 Fish A: 0, 总过鱼率: 0.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-30-44 Fish A: 1, 总过鱼率: 0 单位时间过鱼率: 0 Fish B: 1, 总过鱼率: 0 单位时间过鱼率: 0 
17-30-50 Fish A: 1, 总过鱼率: 0 单位时间过鱼率: 0 Fish B: 1, 总过鱼率: 0 单位时间过鱼率: 0 
17-30-56 Fish A: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 1, 总过鱼率: 0 单位时间过鱼率: 0 
17-31-01 Fish A: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-31-07 Fish A: 1, 总过鱼率: 0.5 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-13 Fish A: 1, 总过鱼率: 0.5 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-18 Fish A: 1, 总过鱼率: 0.5 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-24 Fish A: 0, 总过鱼率: 0.5 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-29 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-36 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-42 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-31-48 Fish A: 0, 总过鱼率: 0 单位时间过鱼率: 0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-31-54 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-31-59 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-32-06 Fish A: 0, 总过鱼率: 0.5 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-12 Fish A: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.5 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-19 Fish A: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-25 Fish A: 1, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-31 Fish A: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-37 Fish A: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
17-32-42 Fish A: 1, 总过鱼率: 0 单位时间过鱼率: 0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-32-48 Fish A: 1, 总过鱼率: 2.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-32-54 Fish A: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-33-00 Fish A: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 0 单位时间过鱼率: 0 
17-33-06 Fish A: 0, 总过鱼率: 1.0 单位时间过鱼率: 0.0 Fish B: 0, 总过鱼率: 2.0 单位时间过鱼率: 0.0 
